Cities,Confirmed Cases,Recovered Cases,Death cases,Active Cases
Rajnandgaon,1,0,0,1
Durg,1,0,1,0
Baloda Bazar,3,0,2,1
Raigarh,5,2,0,3
Bijapur,6,0,3,3
